time,lasttime,lat,lng,speed,course,altitude,comment
2023-10-14 14:04:50,2023-10-14 14:11:02,31.89167,-102.32883,,,,"NEBP-WV 12 0.86 alt=906.7M 16"
2023-10-14 14:11:28,2023-10-14 14:40:18,31.89167,-102.32900,,,,"NEBP-WV 13 0.80 alt=890.2M 85"
2023-10-14 14:42:29,2023-10-14 14:42:29,31.89167,-102.32883,,,,"NEBP-WV 13 0.90 alt=890.3M 90"
2023-10-14 15:13:33,2023-10-14 15:31:29,31.89167,-102.32900,,,,"NEBP-WV 14 0.71 alt=906.7M 202"
2023-10-14 15:32:22,2023-10-14 15:35:26,31.89150,-102.32867,,,,"NEBP-WV 13 0.77 alt=900.9M 211"
2023-10-14 15:35:52,2023-10-14 15:40:38,31.89150,-102.32883,,,,"NEBP-WV 12 0.95 alt=895.3M 223"
2023-10-14 15:45:38,2023-10-14 15:45:38,31.89133,-102.32967,,,,"NEBP-WV 13 0.78 alt=912.9M 235"
2023-10-14 15:46:03,2023-10-14 15:46:03,31.89067,-102.33133,25,,,"NEBP-WV 13 0.78 alt=967.8M 236"
2023-10-14 15:46:28,2023-10-14 15:46:28,31.89000,-102.33250,19,,,"NEBP-WV 13 0.78 alt=1026.0M 237"
2023-10-14 15:46:53,2023-10-14 15:46:53,31.88983,-102.33433,25,,,"NEBP-WV 12 0.87 alt=1083.4M 238"
2023-10-14 15:47:18,2023-10-14 15:47:18,31.89050,-102.33483,13,,,"NEBP-WV 13 0.80 alt=1226.6M 239"
2023-10-14 15:47:43,2023-10-14 15:47:43,31.89167,-102.33517,19,,,"NEBP-WV 13 0.83 alt=1373.9M 240"
2023-10-14 15:48:56,2023-10-14 15:48:56,31.89283,-102.33217,15,,,"NEBP-WV 14 0.84 alt=1886.4M 241"
2023-10-14 15:49:21,2023-10-14 15:49:21,31.89417,-102.33083,28,,,"NEBP-WV 14 0.73 alt=2009.5M 242"
2023-10-14 15:49:46,2023-10-14 15:49:46,31.89433,-102.32950,18,,,"NEBP-WV 15 0.72 alt=2142.0M 243"
2023-10-14 15:50:11,2023-10-14 15:50:11,31.89467,-102.32783,23,,,"NEBP-WV 15 0.78 alt=2320.4M 244"
2023-10-14 15:50:36,2023-10-14 15:50:36,31.89433,-102.32600,25,,,"NEBP-WV 15 0.72 alt=2504.0M 245"
2023-10-14 15:51:01,2023-10-14 15:51:01,31.89300,-102.32433,31,,,"NEBP-WV 15 0.72 alt=2630.1M 246"
2023-10-14 15:51:26,2023-10-14 15:51:26,31.89183,-102.32217,35,,,"NEBP-WV 14 0.75 alt=2809.3M 247"
2023-10-14 15:51:51,2023-10-14 15:51:51,31.89083,-102.32067,26,,,"NEBP-WV 15 0.70 alt=2898.8M 248"
2023-10-14 15:52:16,2023-10-14 15:52:16,31.89033,-102.31833,33,,,"NEBP-WV 15 0.72 alt=3130.6M 249"
2023-10-14 15:53:06,2023-10-14 15:53:06,31.88800,-102.31117,52,,,"NEBP-WV 15 0.70 alt=3512.9M 250"
2023-10-14 15:53:31,2023-10-14 15:53:31,31.88667,-102.30750,54,,,"NEBP-WV 15 0.68 alt=3636.0M 251"
2023-10-14 15:53:56,2023-10-14 15:53:56,31.88550,-102.30417,49,,,"NEBP-WV 15 0.68 alt=3777.2M 252"
2023-10-14 15:54:21,2023-10-14 15:54:21,31.88417,-102.30100,48,,,"NEBP-WV 15 0.68 alt=3888.7M 253"
2023-10-14 15:54:46,2023-10-14 15:54:46,31.88267,-102.29817,45,,,"NEBP-WV 15 0.68 alt=3987.5M 254"
2023-10-14 15:55:11,2023-10-14 15:55:11,31.88117,-102.29483,51,,,"NEBP-WV 15 0.69 alt=4133.1M 255"
2023-10-14 15:55:36,2023-10-14 15:55:36,31.87967,-102.29150,51,,,"NEBP-WV 15 0.68 alt=4289.2M 256"
2023-10-14 15:56:01,2023-10-14 15:56:01,31.87883,-102.28883,39,,,"NEBP-WV 15 0.69 alt=4458.3M 257"
2023-10-14 15:56:26,2023-10-14 15:56:26,31.87850,-102.28567,43,,,"NEBP-WV 14 0.75 alt=4660.7M 258"
2023-10-14 15:56:51,2023-10-14 15:56:51,31.87833,-102.28233,45,,,"NEBP-WV 15 0.69 alt=4789.8M 259"
2023-10-14 15:57:16,2023-10-14 15:57:16,31.87833,-102.27867,50,,,"NEBP-WV 15 0.68 alt=4957.6M 260"
2023-10-14 15:57:41,2023-10-14 15:57:41,31.87833,-102.27517,48,,,"NEBP-WV 15 0.69 alt=5082.1M 261"
2023-10-14 15:58:06,2023-10-14 15:58:06,31.87917,-102.27200,45,,,"NEBP-WV 15 0.68 alt=5298.5M 262"
2023-10-14 15:58:31,2023-10-14 15:58:31,31.87950,-102.26833,50,,,"NEBP-WV 15 0.69 alt=5420.6M 263"
2023-10-14 15:58:56,2023-10-14 15:58:56,31.87983,-102.26400,59,,,"NEBP-WV 15 0.69 alt=5685.0M 264"
2023-10-14 15:59:21,2023-10-14 15:59:21,31.88017,-102.25983,57,,,"NEBP-WV 15 0.68 alt=5901.2M 265"
2023-10-14 16:00:11,2023-10-14 16:00:11,31.88033,-102.25100,60,,,"NEBP-WV 16 0.66 alt=6338.5M 266"
2023-10-14 16:00:36,2023-10-14 16:00:36,31.88067,-102.24667,59,,,"NEBP-WV 16 0.66 alt=6531.7M 267"
2023-10-14 16:01:02,2023-10-14 16:01:02,31.88067,-102.24183,63,,,"NEBP-WV 16 0.65 alt=6729.2M 268"
2023-10-14 16:01:27,2023-10-14 16:01:27,31.88050,-102.23650,72,,,"NEBP-WV 15 0.68 alt=6847.5M 269"
2023-10-14 16:01:52,2023-10-14 16:01:52,31.88100,-102.23150,68,,,"NEBP-WV 16 0.68 alt=7030.3M 270"
2023-10-14 16:02:17,2023-10-14 16:02:17,31.88167,-102.22650,69,,,"NEBP-WV 16 0.66 alt=7216.9M 271"
2023-10-14 16:03:06,2023-10-14 16:03:06,31.88467,-102.21617,76,,,"NEBP-WV 16 0.67 alt=7519.2M 272"
2023-10-14 16:03:31,2023-10-14 16:03:31,31.88633,-102.21183,65,,,"NEBP-WV 16 0.65 alt=7728.7M 273"
2023-10-14 16:03:57,2023-10-14 16:03:57,31.88850,-102.20733,68,,,"NEBP-WV 16 0.71 alt=7902.4M 274"
2023-10-14 16:04:22,2023-10-14 16:04:22,31.89050,-102.20167,83,,,"NEBP-WV 16 0.65 alt=8107.8M 275"
2023-10-14 16:05:11,2023-10-14 16:05:11,31.89333,-102.19217,70,,,"NEBP-WV 16 0.66 alt=8464.1M 276"
2023-10-14 16:05:37,2023-10-14 16:05:37,31.89517,-102.18667,77,,,"NEBP-WV 16 0.66 alt=8654.6M 277"
2023-10-14 16:06:03,2023-10-14 16:06:03,31.89717,-102.18117,78,,,"NEBP-WV 16 0.66 alt=8879.8M 278"
2023-10-14 16:06:29,2023-10-14 16:06:29,31.89900,-102.17550,79,,,"NEBP-WV 16 0.65 alt=9017.7M 279"
2023-10-14 16:06:56,2023-10-14 16:06:56,31.90050,-102.16883,87,,,"NEBP-WV 16 0.66 alt=9190.2M 280"
2023-10-14 16:07:22,2023-10-14 16:07:22,31.90250,-102.16183,96,,,"NEBP-WV 16 0.65 alt=9321.0M 281"
2023-10-14 16:07:48,2023-10-14 16:07:48,31.90433,-102.15667,73,,,"NEBP-WV 16 0.66 alt=9538.5M 282"
2023-10-14 16:08:14,2023-10-14 16:08:14,31.90600,-102.15067,82,,,"NEBP-WV 16 0.67 alt=9754.9M 283"
2023-10-14 16:08:41,2023-10-14 16:08:41,31.90900,-102.14517,82,,,"NEBP-WV 16 0.66 alt=9910.5M 284"
2023-10-14 16:09:33,2023-10-14 16:09:33,31.91567,-102.13300,95,,,"NEBP-WV 16 0.66 alt=10770.4M 286"
2023-10-14 16:10:22,2023-10-14 16:10:22,31.92050,-102.12117,91,,,"NEBP-WV 16 0.65 alt=11127.5M 287"
2023-10-14 16:10:47,2023-10-14 16:10:47,31.92467,-102.11500,107,,,"NEBP-WV 16 0.65 alt=11275.8M 288"
2023-10-14 16:11:12,2023-10-14 16:11:12,31.92867,-102.10733,122,,,"NEBP-WV 16 0.66 alt=11420.4M 289"
2023-10-14 16:11:37,2023-10-14 16:11:37,31.93283,-102.09933,127,,,"NEBP-WV 16 0.66 alt=11574.2M 290"
2023-10-14 16:12:02,2023-10-14 16:12:02,31.93650,-102.09067,131,,,"NEBP-WV 16 0.65 alt=11749.5M 291"
2023-10-14 16:12:27,2023-10-14 16:12:27,31.94100,-102.08233,134,,,"NEBP-WV 16 0.65 alt=11927.0M 292"
2023-10-14 16:12:52,2023-10-14 16:12:52,31.94450,-102.07350,132,,,"NEBP-WV 16 0.65 alt=12117.4M 293"
2023-10-14 16:13:17,2023-10-14 16:13:17,31.94967,-102.06350,159,,,"NEBP-WV 16 0.65 alt=12295.6M 294"
2023-10-14 16:13:42,2023-10-14 16:13:42,31.95433,-102.05333,157,,,"NEBP-WV 15 0.77 alt=12468.7M 295"
2023-10-14 16:14:07,2023-10-14 16:14:07,31.95833,-102.04450,136,,,"NEBP-WV 15 0.78 alt=12640.3M 296"
2023-10-14 16:14:32,2023-10-14 16:14:32,31.96200,-102.03583,132,,,"NEBP-WV 15 0.77 alt=12853.7M 297"
2023-10-14 16:14:57,2023-10-14 16:14:57,31.96400,-102.02750,118,,,"NEBP-WV 15 0.77 alt=13027.1M 298"
2023-10-14 16:15:22,2023-10-14 16:15:22,31.96583,-102.01883,121,,,"NEBP-WV 14 0.79 alt=13248.5M 299"
2023-10-14 16:15:47,2023-10-14 16:15:47,31.96650,-102.01067,111,,,"NEBP-WV 15 0.78 alt=13429.5M 300"
2023-10-14 16:16:12,2023-10-14 16:16:12,31.96800,-102.00333,102,,,"NEBP-WV 15 0.78 alt=13642.2M 301"
2023-10-14 16:16:37,2023-10-14 16:16:37,31.96950,-101.99600,102,,,"NEBP-WV 14 0.80 alt=13873.1M 302"
2023-10-14 16:17:02,2023-10-14 16:17:02,31.97167,-101.98883,103,,,"NEBP-WV 15 0.77 alt=14064.6M 303"
2023-10-14 16:17:27,2023-10-14 16:17:27,31.97483,-101.98100,118,,,"NEBP-WV 15 0.78 alt=14318.4M 304"
2023-10-14 16:17:52,2023-10-14 16:17:52,31.97850,-101.97317,121,,,"NEBP-WV 15 0.77 alt=14500.3M 305"
2023-10-14 16:18:17,2023-10-14 16:18:17,31.98183,-101.96617,109,,,"NEBP-WV 15 0.78 alt=14685.0M 306"
2023-10-14 16:18:42,2023-10-14 16:18:42,31.98367,-101.95783,117,,,"NEBP-WV 15 0.78 alt=14905.0M 307"
2023-10-14 16:19:07,2023-10-14 16:19:07,31.98533,-101.94983,112,,,"NEBP-WV 14 0.81 alt=15101.2M 308"
2023-10-14 16:19:33,2023-10-14 16:19:35,31.98767,-101.94383,,,,"NEBP-WV 17 0.64 alt=15304.8M 309­"
2023-10-14 16:19:58,2023-10-14 16:20:00,31.99050,-101.93667,,,,"NEBP-WV 17 0.64 alt=15502.3M 310ª"
2023-10-14 16:20:23,2023-10-14 16:20:23,31.99183,-101.93100,87,,,"NEBP-WV 17 0.64 alt=15717.7M 311"
2023-10-14 16:20:48,2023-10-14 16:20:48,31.99333,-101.92500,85,,,"NEBP-WV 17 0.64 alt=15933.1M 312"
2023-10-14 16:21:13,2023-10-14 16:21:13,31.99467,-101.91933,80,,,"NEBP-WV 17 0.64 alt=16198.3M 313"
2023-10-14 16:21:38,2023-10-14 16:21:40,31.99600,-101.91467,,,,"NEBP-WV 16 0.66 alt=16437.6M 314ª"
2023-10-14 16:22:03,2023-10-14 16:22:03,31.99917,-101.91083,79,,,"NEBP-WV 16 0.66 alt=16689.4M 315"
2023-10-14 16:22:28,2023-10-14 16:22:28,32.00217,-101.90633,78,,,"NEBP-WV 15 0.69 alt=16926.9M 316"
2023-10-14 16:22:53,2023-10-14 16:22:55,32.00483,-101.90150,,,,"NEBP-WV 15 0.68 alt=17121.2M 317¯"
2023-10-14 16:23:18,2023-10-14 16:23:22,32.00633,-101.89717,,,,"NEBP-WV 15 0.68 alt=17382.3M 318­"
2023-10-14 16:23:44,2023-10-14 16:23:47,32.00700,-101.89400,,,,"NEBP-WV 14 0.69 alt=17578.4M 319î"
2023-10-14 16:24:09,2023-10-14 16:24:09,32.00617,-101.89133,44,,,"NEBP-WV 14 0.73 alt=17853.8M 320"
2023-10-14 16:24:36,2023-10-14 16:24:36,32.00683,-101.88983,21,,,"NEBP-WV 15 0.68 alt=18010.6M 321"
2023-10-14 16:25:01,2023-10-14 16:25:01,32.00733,-101.88917,12,,,"NEBP-WV 15 0.91 alt=18143.4M 322"
2023-10-14 16:26:16,2023-10-14 16:26:16,32.00917,-101.88533,20,,,"NEBP-WV 13 0.73 alt=19148.3M 325"
2023-10-14 16:26:41,2023-10-14 16:26:41,32.01050,-101.88600,23,,,"NEBP-WV 15 0.68 alt=19280.4M 326"
2023-10-14 16:27:06,2023-10-14 16:27:06,32.01133,-101.88533,16,,,"NEBP-WV 13 0.84 alt=19483.8M 327"
2023-10-14 16:29:36,2023-10-14 16:29:36,32.01567,-101.87967,17,,,"NEBP-WV 15 0.68 alt=21197.4M 333"
2023-10-14 16:30:51,2023-10-14 16:30:51,32.01500,-101.87600,17,,,"NEBP-WV 13 0.82 alt=22013.6M 336"
2023-10-14 16:32:31,2023-10-14 16:32:31,32.01200,-101.87550,12,,,"NEBP-WV 15 0.68 alt=23091.9M 340"
2023-10-14 16:33:21,2023-10-14 16:33:21,32.01017,-101.87467,16,,,"NEBP-WV 14 0.69 alt=23324.2M 341"
2023-10-14 16:34:36,2023-10-14 16:34:36,32.00717,-101.87283,18,,,"NEBP-WV 14 0.69 alt=24172.6M 343"
2023-10-14 16:35:26,2023-10-14 16:35:26,32.00450,-101.87367,22,,,"NEBP-WV 15 0.68 alt=24763.3M 345"
2023-10-14 16:35:52,2023-10-14 16:35:54,32.00450,-101.87350,,,,"NEBP-WV 15 0.68 alt=24857.7M 346ó"
2023-10-14 16:37:32,2023-10-14 16:37:32,32.00650,-101.87233,9,,,"NEBP-WV 15 0.68 alt=25967.9M 350"
2023-10-14 16:39:37,2023-10-14 16:39:37,32.00800,-101.87283,5,,,"NEBP-WV 15 0.68 alt=27068.7M 355"
2023-10-14 16:40:02,2023-10-14 16:40:02,32.00817,-101.87267,3,,,"NEBP-WV 15 0.68 alt=27222.3M 356"
2023-10-14 16:40:27,2023-10-14 16:40:27,32.00800,-101.87150,16,,,"NEBP-WV 15 0.68 alt=27094.4M 357"
2023-10-14 16:40:52,2023-10-14 16:40:52,32.00817,-101.87167,4,,,"NEBP-WV 15 0.68 alt=25764.8M 358"
2023-10-14 16:41:17,2023-10-14 16:41:17,32.00850,-101.87100,11,,,"NEBP-WV 15 0.67 alt=24571.7M 359"
2023-10-14 16:41:42,2023-10-14 16:41:42,32.00600,-101.87067,40,,,"NEBP-WV 15 0.67 alt=23437.2M 360"
2023-10-14 16:42:07,2023-10-14 16:42:07,32.00550,-101.87050,8,,,"NEBP-WV 15 0.67 alt=22371.1M 361"
2023-10-14 16:42:32,2023-10-14 16:42:32,32.00467,-101.86967,17,,,"NEBP-WV 15 0.67 alt=21404.1M 362"
2023-10-14 16:42:57,2023-10-14 16:42:57,32.00550,-101.86917,15,,,"NEBP-WV 15 0.67 alt=20503.1M 363"
2023-10-14 16:43:22,2023-10-14 16:43:24,32.00600,-101.86833,,,,"NEBP-WV 15 0.67 alt=19671.5M 364©"
2023-10-14 16:43:47,2023-10-14 16:43:47,32.00650,-101.86833,9,,,"NEBP-WV 15 0.67 alt=18897.0M 365"
2023-10-14 16:44:12,2023-10-14 16:44:12,32.00717,-101.86750,16,,,"NEBP-WV 15 0.67 alt=18168.2M 366"
2023-10-14 16:44:37,2023-10-14 16:44:37,32.00700,-101.86550,27,,,"NEBP-WV 15 0.67 alt=17492.2M 367"
2023-10-14 16:45:02,2023-10-14 16:45:02,32.00817,-101.86083,66,,,"NEBP-WV 15 0.67 alt=16944.9M 368"
2023-10-14 16:45:27,2023-10-14 16:45:27,32.01100,-101.85600,80,,,"NEBP-WV 13 0.69 alt=16317.8M 369"
2023-10-14 16:46:16,2023-10-14 16:46:16,32.01467,-101.84333,93,,,"NEBP-WV 13 0.69 alt=15468.0M 370"
2023-10-14 16:47:06,2023-10-14 16:47:08,32.02050,-101.82783,,,,"NEBP-WV 13 0.69 alt=14187.9M 372á"
2023-10-14 16:47:31,2023-10-14 16:47:33,32.02283,-101.82050,,,,"NEBP-WV 13 0.69 alt=13662.6M 373á"
2023-10-14 16:47:57,2023-10-14 16:47:57,32.02483,-101.81283,113,,,"NEBP-WV 13 0.69 alt=13232.3M 374"
2023-10-14 16:48:22,2023-10-14 16:48:22,32.02733,-101.80383,128,,,"NEBP-WV 13 0.69 alt=12680.3M 375"
2023-10-14 16:48:47,2023-10-14 16:48:47,32.03183,-101.79433,148,,,"NEBP-WV 13 0.69 alt=12227.2M 376"
2023-10-14 16:49:12,2023-10-14 16:49:12,32.03600,-101.78533,139,,,"NEBP-WV 13 0.69 alt=11803.4M 377"
2023-10-14 16:49:37,2023-10-14 16:49:37,32.03933,-101.77750,119,,,"NEBP-WV 13 0.69 alt=11374.8M 378"
2023-10-14 16:50:02,2023-10-14 16:50:02,32.04233,-101.77117,98,,,"NEBP-WV 13 0.69 alt=10967.7M 379"
2023-10-14 16:50:51,2023-10-14 16:50:51,32.04667,-101.75933,89,,,"NEBP-WV 14 0.66 alt=10183.0M 380"
2023-10-14 16:51:17,2023-10-14 16:51:17,32.04850,-101.75333,83,,,"NEBP-WV 14 0.66 alt=9791.5M 381"
2023-10-14 16:52:06,2023-10-14 16:52:06,32.05200,-101.74217,82,,,"NEBP-WV 15 0.64 alt=9054.8M 382"
2023-10-14 16:52:31,2023-10-14 16:52:31,32.05417,-101.73717,76,,,"NEBP-WV 15 0.64 alt=8696.4M 383"
2023-10-14 16:52:56,2023-10-14 16:52:56,32.05617,-101.73183,79,,,"NEBP-WV 15 0.64 alt=8341.0M 384"
2023-10-14 16:53:22,2023-10-14 16:53:22,32.05783,-101.72617,78,,,"NEBP-WV 15 0.64 alt=7979.1M 385"
2023-10-14 16:53:48,2023-10-14 16:53:48,32.05883,-101.72033,78,,,"NEBP-WV 15 0.64 alt=7625.1M 386"
2023-10-14 16:54:14,2023-10-14 16:54:14,32.05917,-101.71483,72,,,"NEBP-WV 15 0.64 alt=7271.9M 387"
2023-10-14 16:54:41,2023-10-14 16:54:41,32.05917,-101.70967,65,,,"NEBP-WV 16 0.62 alt=6916.8M 388"
2023-10-14 16:55:32,2023-10-14 16:55:32,32.05933,-101.70050,61,,,"NEBP-WV 16 0.62 alt=6259.1M 389"
2023-10-14 16:55:58,2023-10-14 16:55:58,32.05983,-101.69600,59,,,"NEBP-WV 16 0.62 alt=5935.7M 390"
2023-10-14 16:56:24,2023-10-14 16:56:24,32.06000,-101.69200,52,,,"NEBP-WV 16 0.62 alt=5622.5M 391"
2023-10-14 16:56:51,2023-10-14 16:56:51,32.05983,-101.68800,50,,,"NEBP-WV 16 0.62 alt=5310.4M 392"
2023-10-14 16:57:17,2023-10-14 16:57:17,32.05883,-101.68433,50,,,"NEBP-WV 16 0.62 alt=4999.3M 393"
2023-10-14 16:57:43,2023-10-14 16:57:43,32.05767,-101.68100,47,,,"NEBP-WV 16 0.62 alt=4695.6M 394"
2023-10-14 16:58:09,2023-10-14 16:58:09,32.05600,-101.67817,45,,,"NEBP-WV 16 0.62 alt=4400.7M 395"
2023-10-14 16:59:01,2023-10-14 16:59:01,32.05317,-101.67250,43,,,"NEBP-WV 16 0.62 alt=3840.6M 396"
2023-10-14 16:59:51,2023-10-14 16:59:51,32.05100,-101.66633,45,,,"NEBP-WV 16 0.62 alt=3308.3M 397"
2023-10-14 17:00:16,2023-10-14 17:00:16,32.05017,-101.66383,36,,,"NEBP-WV 16 0.62 alt=3041.6M 398"
2023-10-14 17:00:41,2023-10-14 17:00:41,32.04983,-101.66167,30,,,"NEBP-WV 16 0.62 alt=2784.3M 399"
2023-10-14 17:01:06,2023-10-14 17:01:06,32.05033,-101.65933,33,,,"NEBP-WV 16 0.62 alt=2526.1M 400"
2023-10-14 17:01:31,2023-10-14 17:01:31,32.05083,-101.65767,24,,,"NEBP-WV 16 0.62 alt=2280.6M 401"
2023-10-14 17:01:56,2023-10-14 17:01:56,32.05100,-101.65600,23,,,"NEBP-WV 16 0.62 alt=2035.6M 402"
2023-10-14 17:02:21,2023-10-14 17:02:21,32.05083,-101.65517,12,,,"NEBP-WV 17 0.57 alt=1808.7M 403"
2023-10-14 17:02:47,2023-10-14 17:02:47,32.05067,-101.65500,3,,,"NEBP-WV 17 0.57 alt=1547.2M 404"
2023-10-14 17:03:11,2023-10-14 17:03:11,32.05033,-101.65583,13,,,"NEBP-WV 17 0.57 alt=1314.2M 405"
2023-10-14 17:19:01,2023-10-14 18:22:46,32.04833,-101.65817,,,,"NEBP-WV 16 0.66 alt=775.5M 596"
